,name,file_format,dataset
77,c2_data/staff-social-network-3,tsv,c2_data
78,c2_data/worldwide-adult-smoking-population-p,tsv,c2_data
79,c2_data/mlb-rosters-as-of-2-28-07,tsv,c2_data
80,c2_data/catch-blocks-by-file-3,tsv,c2_data
81,c2_data/nen-counts-test,tsv,c2_data
82,c2_data/relationships-among-personages-in-a-,tsv,c2_data
83,c2_data/internet-users-per-language-worldwid,tsv,c2_data
84,c2_data/flickr-canon-v-nikon,tsv,c2_data
85,c2_data/catch-blocks-by-file-4,tsv,c2_data
86,c2_data/scores-by-state,tsv,c2_data
87,c2_data/ricorrenze-luoghi-biblici,tsv,c2_data
88,c2_data/planet-mars,tsv,c2_data
89,c2_data/earmarks-in-the-fy2008-senate-defens,tsv,c2_data
90,c2_data/cs-courses-joseph-edit2,tsv,c2_data
91,c2_data/aa-8,tsv,c2_data
92,c2_data/bowl-subdivision-fbs-national-team-r,tsv,c2_data
93,c2_data/social-network-data-depth-2,tsv,c2_data
94,c2_data/itunes-library,tsv,c2_data
95,c2_data/house-net-spending-data-for-109th-co,tsv,c2_data
96,c2_data/catch-blocks-by-file-2,tsv,c2_data
97,c2_data/words-61,tsv,c2_data
98,c2_data/1st-parliament-of-canada-enhanced,tsv,c2_data
99,c2_data/news-coverage-for-my-portfolio,tsv,c2_data
100,c2_data/name-states,tsv,c2_data
101,c2_data/part-replacement-rates-by-age-of-par,tsv,c2_data
102,sotab/Restaurant_daveandbusters.com_September2020_CTA.json.gz.csv,csv,sotab
103,sotab/Restaurant_marinabaysands.com_September2020_CTA.json.gz.csv,csv,sotab
104,sotab/Restaurant_menumate.com.au_September2020_CTA.json.gz.csv,csv,sotab
105,sotab/Restaurant_newks.com_September2020_CTA.json.gz.csv,csv,sotab
106,sotab/Restaurant_nctriangledining.com_September2020_CTA.json.gz.csv,csv,sotab
107,sotab/Restaurant_viamichelin.nl_September2020_CTA.json.gz.csv,csv,sotab
108,sotab/Restaurant_hackney.co.uk_September2020_CTA.json.gz.csv,csv,sotab
109,sotab/Restaurant_moes.com_September2020_CTA.json.gz.csv,csv,sotab
110,sotab/Restaurant_wedelivercove.com_September2020_CTA.json.gz.csv,csv,sotab
111,sotab/Restaurant_viamichelin.com_September2020_CTA.json.gz.csv,csv,sotab
112,sotab/Restaurant_jumia.ug_September2020_CTA.json.gz.csv,csv,sotab
113,sotab/Event_grapesandgrains.org_September2020_CTA.json.gz.csv,csv,sotab
114,sotab/Event_gratonrancheria.com_September2020_CTA.json.gz.csv,csv,sotab
115,sotab/Event_gunshowtrader.com_September2020_CTA.json.gz.csv,csv,sotab
116,sotab/Event_healthyeatsnutrition.com_September2020_CTA.json.gz.csv,csv,sotab
117,sotab/Event_downtownfreehold.com_September2020_CTA.json.gz.csv,csv,sotab
118,sotab/Event_mtbethel.org_September2020_CTA.json.gz.csv,csv,sotab
119,sotab/Event_rachmaninovacademy.com_September2020_CTA.json.gz.csv,csv,sotab
120,sotab/Event_salescollection.ca_September2020_CTA.json.gz.csv,csv,sotab
121,sotab/Event_lightningcustoms.com_September2020_CTA.json.gz.csv,csv,sotab
122,sotab/Event_jungsouthernafrica.co.za_September2020_CTA.json.gz.csv,csv,sotab
123,sotab/Hotel_30bencoolen.com.sg_September2020_CTA.json.gz.csv,csv,sotab
124,sotab/Hotel_accor.com_September2020_CTA.json.gz.csv,csv,sotab
125,sotab/Hotel_adagio-city.com_September2020_CTA.json.gz.csv,csv,sotab
126,sotab/Hotel_australiansky.ie_September2020_CTA.json.gz.csv,csv,sotab
127,sotab/Hotel_mystays.com_September2020_CTA.json.gz.csv,csv,sotab
128,sotab/Hotel_softvoyage.com_September2020_CTA.json.gz.csv,csv,sotab
129,sotab/Hotel_thesanctumsuites.com_September2020_CTA.json.gz.csv,csv,sotab
130,sotab/Hotel_trivago.ae_September2020_CTA.json.gz.csv,csv,sotab
131,sotab/Hotel_wonderla.com_September2020_CTA.json.gz.csv,csv,sotab
132,sotab/Hotel_tourism-carcassonne.co.uk_September2020_CTA.json.gz.csv,csv,sotab
133,sotab/MusicRecording_19p.ru_September2020_CTA.json.gz.csv,csv,sotab
134,sotab/MusicRecording_47p.ru_September2020_CTA.json.gz.csv,csv,sotab
135,sotab/MusicRecording_aaronkusterer.com_September2020_CTA.json.gz.csv,csv,sotab
136,sotab/MusicRecording_aftercost.us_September2020_CTA.json.gz.csv,csv,sotab
137,sotab/MusicRecording_albumtory.ru_September2020_CTA.json.gz.csv,csv,sotab
138,sotab/MusicRecording_ancientlyre.com_September2020_CTA.json.gz.csv,csv,sotab
139,sotab/MusicRecording_anniedinerman.com_September2020_CTA.json.gz.csv,csv,sotab
140,sotab/MusicRecording_armadatheproducer.com_September2020_CTA.json.gz.csv,csv,sotab
141,sotab/MusicRecording_artistmaker.ru_September2020_CTA.json.gz.csv,csv,sotab
142,sotab/MusicRecording_buskermusic.com_September2020_CTA.json.gz.csv,csv,sotab
143,c2_data/tables/1st-parliament-of-canada-enhanced,tsv,sotab
